Accession,Species,Length,Geo_Location,Host
NC_031761.1,Alphabaculovirus angemmatalis,131855,Brazil,Anticarsia gemmatalis
NC_030240.1,Alphabaculovirus capomonae,128058,China,Catopsilia pomona
NC_029996.1,Betabaculovirus molatipedis,134272,Brazil,Mocis
NC_029997.2,Alphabaculovirus urprotei,105555,Brazil,Urbanus proteus
NC_028636.1,Alphabaculovirus sujujubae,135952,China,Sucra jujuba
NC_028491.1,Betabaculovirus disaccharalis,98392,Brazil,Diatraea saccharalis
NC_027923.1,Alphabaculovirus peluscae,132831,Brazil,Perigonia lusca
NC_026922.1,Alphabaculovirus lafiscellariae,157977,USA,Lambdina fiscellaria
NC_026511.1,Betabaculovirus spofrugiperdae,140913,Colombia,Spodoptera frugiperda
NC_026430.1,Alphabaculovirus covestigialis,125767,Brazil,Condylorrhiza vestigialis
NC_026268.1,Alphabaculovirus chrincludentis,139132,Brazil,Chrysodeixis includens
NC_025960.1,Alphabaculovirus alteragsegetum,148981,"United Kingdom: Oxford, England",Agrotis segetum
NC_025257.1,Betabaculovirus erellonis,102759,Brazil: Southern Brazil,Erinnyis ello
NC_024625.1,Peridroma alphabaculovirus,151109,USA,Peridroma
NC_023681.1,Alphabaculovirus mabrassicae,152710,South Korea,Mamestra brassicae
NC_023442.1,Alphabaculovirus busuppressariae,120420,China,Biston suppressaria
NC_023177.1,Alphabaculovirus chomurinanae,124688,,
NC_022646.1,Betabaculovirus clanastomosis,101818,China: Henan Province,Clostera anastomosis
NC_021923.1,Alphabaculovirus heleucae,140633,USA,Hemileuca
NC_021924.1,Alphabaculovirus chorosaceanae,129052,Canada,Choristoneura rosaceana
NC_019945.1,Alphabaculovirus thorichlaceae,132978,Indonesia,Thysanoplusia orichalcea
NC_018875.1,Betabaculovirus epaporemae,119082,"Argentina: Oliveros, Santa Fe",Epinotia aporema
NC_018504.1,Apocheima cinerarium nucleopolyhedrovirus,123876,China,Apocheima cinerarius
NC_015398.1,Betabaculovirus clanachoretae,101487,China,Clostera anachoreta
NC_013953.1,Alphabaculovirus lyxylinae,156344,Taiwan,Lymantria xylina
NC_013797.1,Betabaculovirus arrapae,108592,China,Pieris rapae
NC_013772.1,Betabaculovirus myunipunctae,176677,,Mythimna separata
NC_012639.1,Alphabaculovirus eupseudoconspersae,141291,China:Zhejiang,Euproctis pseudoconspersa
NC_011616.1,Spodoptera litura nucleopolyhedrovirus II,148634,,
NC_011423.1,Adoxophyes orana nucleopolyhedrovirus,111724,United Kingdom,Adoxophyes orana
NC_011345.1,Alphabaculovirus agipsilonis,155122,USA,
NC_010276.1,Alphabaculovirus orleucostigmae,156179,Canada,
NC_010240.1,Betabaculovirus helarmigerae,169794,,
NC_009503.1,Betabaculovirus spliturae,124121,South Korea,
NC_009011.2,Alphabaculovirus spofrugiperdae,131331,,
NC_008725.1,Alphabaculovirus mavitratae,111953,Taiwan,
NC_008586.1,Alphabaculovirus ecobliquae,131204,,
NC_008348.1,Alphabaculovirus leseparatae,168041,,
NC_008293.1,Alphabaculovirus clabilineatae,135454,,
NC_008252.1,Gammabaculovirus neabietis,84264,Canada: between Stephenville and Corner Brook,Neodiprion abietis
NC_008168.1,Betabaculovirus chofumiferanae,104710,,
NC_008035.3,Alphabaculovirus anpernyi,126629,,
NC_007921.1,Alphabaculovirus agsegetum,147544,,
NC_007767.1,Alphabaculovirus hycuneae,132959,,
NC_007383.1,Alphabaculovirus trini,134394,Canada,
NC_007151.1,Alphabaculovirus chrychalcites,149622,,
NC_005905.1,Gammabaculovirus nesertiferis,86462,,Neodiprion sertifer
NC_005906.1,Gammabaculovirus nelecontei,81755,,
NC_005137.2,Alphabaculovirus alterchofumiferanae,131160,,
NC_005068.1,Betabaculovirus cryleucotretae,110907,Cape Verde: Cape Verde Islands,
NC_005038.1,Betabaculovirus adoranae,99657,,
NC_004778.3,Alphabaculovirus chofumiferanae,129593,Ireland,
NC_004690.1,Alphabaculovirus adhonmai,113220,,
NC_004323.1,Alphabaculovirus raous,131526,,
NC_004117.1,Alphabaculovirus sp. 'altermaconfiguratae',158482,,
NC_004062.1,Betabaculovirus phoperculellae,119217,,
NC_003102.1,Alphabaculovirus spliturae,139342,,
NC_003094.2,Alphabaculovirus helarmigerae,130759,,
NC_003084.1,Deltabaculovirus cunigripalpi,108252,"USA: Gainsville, Florida 1997",
NC_003083.1,Alphabaculovirus eppostvittanae,118584,,
NC_002816.1,Betabaculovirus cypomonellae,123500,,
NC_002654.2,Alphabaculovirus helarmigerae,131405,,
NC_002593.1,Betabaculovirus pluxylostellae,100999,,
NC_002331.1,Betabaculovirus xecnigri,178733,,
NC_002169.1,Spodoptera exigua multiple nucleopolyhedrovirus,135611,,
NC_001973.1,Alphabaculovirus lydisparis,161046,,
NC_003529.1,Alphabaculovirus maconfiguratae,155060,Canada,Mamestra configurata
NC_001875.2,Alphabaculovirus orpseudotsugatae,131995,,
NC_001962.1,Alphabaculovirus bomori,128413,,
NC_001623.1,Alphabaculovirus aucalifornicae,133894,,
