TSS,Direction,TATAA_Distance_from_TSS,CAGT_Distance_from_TSS,TAAG_Distance_from_TSS,ORF,ORF start,ORF end,Early / Late
88199,-,,,-1,bv/odv-c42,86921,88006,L
88112,,,-37,-1,,,,L
88456,-,-3,,-1,orf102,88026,88394,L
89558,-,-3,44,-1,p48,88375,89538,L
89529,+,22,,-1,"vp80, p80",89564,91639,L
89377,,,,-1,,,,L
93341,-,-28,-8,-26,he65,91667,93328,E
93366,,-3,18,-1,,,,L
93663,+,,,-1,orf106,93873,94058,L
93663,+,,,-1,orf107,94059,94391,L
94718,-,,,-1,Splt97,94392,94709,L
95910,-,,,-1,Haodv-ec43,94721,95893,L
96110,-,-46,,-1,orf110,95929,96099,L
96383,-,-32,9,,orf111,96148,96351,E
96410,+,,-5,,orf112,96521,96784,E
96711,+,3,44,,orf113,96789,97298,E
96410,,,,,,,,E
99176,-,,,-1,orf114,97886,99160,L
99226,,,,,,,,E
99805,-,,-41,-1,orf115,99182,99796,L
100853,-,,,20,orf116,99804,99974,E
99773,+,-18,-9,-1,orf117,99910,100197,L
99361,,,,-1,,,,L
101038,-,,-1,22,orf118,100231,100704,E
101115,,,"-23, -1",-27,,,,E
100853,,,,24,,,,E
100692,+,,,-1,orf119,100699,102291,L
102201,+,,,"-49, -1",orf120,102296,102544,L
,+,,,,orf121,102647,102823,
102936,-,-32,,,orf122,102713,102901,E
104206,-,,35,-1,pk-2,102964,103611,L
103640,,,,,,,,E
103623,+,,-5,-1,orf124,103793,104536,L
103782,,-3,,-1,,,,L
105246,-,,,,lef-7,104553,105233,E
106950,-,,,-1,chit,105282,106937,L
106957,+,,,-1,v-cath,106983,107954,L
109855,-,-33,,-1,gp64,108179,109717,E/L
109842,,-46,,"-15, -1",,,,L
109782,,-3,,-1,,,,L
109755,,-24,-1,-23,,,,E
109863,+,23,,-1,p24,109900,110496,L
110501,+,-35,,-1,gp16,110524,110844,E/L
110857,+,,,-1,pp34,110903,111661,L
111869,+,,,-1,orf132,111873,112532,L
112520,+,,,,alk-exo,112560,113819,L
112540,,,,-1,,,,E
116291,-,-30,,,94k,113870,116281,E
116294,,-27,,,,,,E
116357,,37,,,,,,E
116462,+,-26,,-1,p35,116492,117391,L
116466,,-30,,,,,,E
118010,+,44,,,p26,118044,118766,E
118769,+,,,-1,p10,118839,119123,L
121086,-,-47,,-1,p74,119135,121072,L
122635,-,13,42,-1,me53,121205,122554,L
122595,,-28,1,-41,,,,E
,+,,,,orf140,122625,122807,
122806,+,-3,41,-1,ie0,122832,122945,L
122756,,-31,-1,,,127150,128946,E
122806,+,-3,40,-1,exon0,122832,123617,L
123616,+,-7,,-1,49k,123632,125065,L
124960,+,,,-1,odv-e18,125153,125341,L
125344,+,6,,-1,odv-ec27,125357,126229,L
125982,+,,,,orf145,126299,126532,E
127140,-,,-25,,orf146,126527,127132,E
127148,+,-32,-1,,ie1,127198,128946,E
130152,-,,-39,-1,odv-e56,129008,130138,L
131291,-,,,-1,orf149,130167,130490,L
130319,+,37,,"-34, -1",orf150,130456,130755,L
129684,,,39,-1,,,,L
132131,-,-31,-47,-5,ie2,130857,132083,E
132968,-,,47,-1,orf152,132109,132387,L
132481,+,-31,2,-5,pe38,132526,133491,E
133577,+,,,-1,orf154,133591,133836,L
133588,,,,"-12, -1",,,,L
132914,,,,"-12, -1",,,,L
